TRACE   [14:58:15.502, 03.08.15]: ENTER de.kaping.brain.model.Pool.initializePool()
TRACE   [14:58:15.506, 03.08.15]:    Create new Neuron.
TRACE   [14:58:15.506, 03.08.15]:    Create new Neuron.
TRACE   [14:58:15.506, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.508, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.509, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.509, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.509, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.509, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.511, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.511, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.511, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.511, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.512, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.512, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.513, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.513, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.513, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.514, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.514, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.514, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.515, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.515, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.516, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.516, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.516, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.517, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.517, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.518, 03.08.15]:    Create new Neuron.
DEBUG   [14:58:15.518, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.518, 03.08.15]:    Neue Innovation!
DEBUG   [14:58:15.518, 03.08.15]:    Neue Innovation!
TRACE   [14:58:15.518, 03.08.15]:  EXIT de.kaping.brain.model.Pool.initializePool()
DEBUG   [14:58:15.518, 03.08.15]: Pool initialized with 20 species
